id,repository_id,url,stars,commit_count,sizes,fork,release_count,release_id,repos_addr
51,4516733,https://github.com/bauerca/drag-sort-listview,3182,165,2461,1586,2,NULL,home/fdse/data/prior_repository/bauerca/drag-sort-listview
52,108050,https://github.com/mongodb/mongo-java-driver,1962,6251,48559,1156,128,NULL,home/fdse/data/prior_repository/mongodb/mongo-java-driver
53,4533231,https://github.com/jprante/elasticsearch-jdbc,2379,452,7823,641,90,NULL,home/fdse/data/prior_repository/jprante/elasticsearch-jdbc
54,470946,https://github.com/ether/pad,1012,900,28012,197,3,NULL,home/fdse/data/prior_repository/ether/pad
55,3354338,https://github.com/Todd-Davies/ProgressWheel,2423,91,371,743,3,NULL,home/fdse/data/prior_repository/Todd-Davies/ProgressWheel
56,2003641,https://github.com/swagger-api/swagger-core,4896,2655,12019,1560,70,NULL,home/fdse/data/prior_repository/swagger-api/swagger-core
57,1234896,https://github.com/johannilsson/android-pulltorefresh,2546,100,1491,1140,0,NULL,home/fdse/data/prior_repository/johannilsson/android-pulltorefresh
58,3116751,https://github.com/androidannotations/androidannotations,10219,2774,21799,2479,28,NULL,home/fdse/data/prior_repository/androidannotations/androidannotations
59,1326671,https://github.com/k9mail/k-9,3767,7736,56841,1909,366,NULL,home/fdse/data/prior_repository/k9mail/k-9
60,206444,https://github.com/apache/hive,1822,11878,383731,1927,39,NULL,home/fdse/data/prior_repository/apache/hive
61,1258570,https://github.com/osmandapp/Osmand,1404,47510,384855,618,0,NULL,home/fdse/data/prior_repository/osmandapp/Osmand
62,372315,https://github.com/notnoop/java-apns,1641,472,1585,647,18,NULL,home/fdse/data/prior_repository/notnoop/java-apns
63,20089857,https://github.com/apache/hbase,1885,15222,289280,1503,592,NULL,home/fdse/data/prior_repository/apache/hbase
64,2624543,https://github.com/rmtheis/android-ocr,1766,114,17127,816,0,NULL,home/fdse/data/prior_repository/rmtheis/android-ocr
65,4187356,https://github.com/xamarin/XobotOS,1275,2,181723,272,0,NULL,home/fdse/data/prior_repository/xamarin/XobotOS
66,2622727,https://github.com/kevinsawicki/http-request,2543,446,3138,690,29,NULL,home/fdse/data/prior_repository/kevinsawicki/http-request
67,2562751,https://github.com/zxing/zxing,18203,3425,239180,7374,24,NULL,home/fdse/data/prior_repository/zxing/zxing
68,4710920,https://github.com/alibaba/dubbo,18097,2217,9425,12913,51,NULL,home/fdse/data/prior_repository/alibaba/dubbo
69,2624521,https://github.com/gephi/gephi,2611,4599,523111,1171,12,NULL,home/fdse/data/prior_repository/gephi/gephi
70,2948949,https://github.com/BroadleafCommerce/BroadleafCommerce,1094,15303,280665,934,274,NULL,home/fdse/data/prior_repository/BroadleafCommerce/BroadleafCommerce
71,278745,https://github.com/commonsguy/cw-advandroid,1454,189,8411,1259,16,NULL,home/fdse/data/prior_repository/commonsguy/cw-advandroid
72,5284389,https://github.com/keyboardsurfer/Crouton,3044,413,3934,741,9,NULL,home/fdse/data/prior_repository/keyboardsurfer/Crouton
73,1011539,https://github.com/rest-assured/rest-assured,2973,1675,8570,794,52,NULL,home/fdse/data/prior_repository/rest-assured/rest-assured
74,500437,https://github.com/purplecabbage/phonegap-plugins,1013,1633,62019,4230,2,NULL,home/fdse/data/prior_repository/purplecabbage/phonegap-plugins
75,459348,https://github.com/jberkel/sms-backup-plus,1194,1705,16143,409,96,NULL,home/fdse/data/prior_repository/jberkel/sms-backup-plus
76,3134551,https://github.com/MiCode/FileExplorer,1276,53,851,720,0,NULL,home/fdse/data/prior_repository/MiCode/FileExplorer
77,4839957,https://github.com/jfeinstein10/SlidingMenu,10947,336,32085,5517,0,NULL,home/fdse/data/prior_repository/jfeinstein10/SlidingMenu
78,1756350,https://github.com/JodaOrg/joda-time,3469,2068,10597,746,54,NULL,home/fdse/data/prior_repository/JodaOrg/joda-time
79,3786237,https://github.com/hazelcast/hazelcast,2546,26505,128933,997,153,NULL,home/fdse/data/prior_repository/hazelcast/hazelcast
80,538681,https://github.com/hierynomus/sshj,1120,818,7739,282,34,NULL,home/fdse/data/prior_repository/hierynomus/sshj
81,2874001,https://github.com/chrisbanes/Android-PullToRefresh,8636,477,4286,5150,24,NULL,home/fdse/data/prior_repository/chrisbanes/Android-PullToRefresh
82,4403738,https://github.com/openaphid/android-flip,2683,113,6795,1346,4,NULL,home/fdse/data/prior_repository/openaphid/android-flip
83,4368712,https://github.com/jersey/jersey,2713,3167,38964,2446,98,NULL,home/fdse/data/prior_repository/jersey/jersey
84,892275,https://github.com/square/retrofit,27438,1572,4626,5357,41,NULL,home/fdse/data/prior_repository/square/retrofit
85,2045207,https://github.com/eclipse/jetty.project,1941,15572,113620,1169,303,NULL,home/fdse/data/prior_repository/eclipse/jetty.project
86,3041887,https://github.com/goldmansachs/gs-collections,1709,912,15275,263,20,NULL,home/fdse/data/prior_repository/goldmansachs/gs-collections
87,4291387,https://github.com/Netflix/archaius,1616,631,3323,353,110,NULL,home/fdse/data/prior_repository/Netflix/archaius
88,656893,https://github.com/cyrilmottier/GreenDroid,2633,69,1914,965,2,NULL,home/fdse/data/prior_repository/cyrilmottier/GreenDroid
89,949129,https://github.com/geometer/FBReaderJ,1444,9034,64544,785,404,NULL,home/fdse/data/prior_repository/geometer/FBReaderJ
90,3182937,https://github.com/siyamed/android-satellite-menu,1408,20,2520,703,0,NULL,home/fdse/data/prior_repository/siyamed/android-satellite-menu
91,5084750,https://github.com/chrisbanes/PhotoView,12893,425,16761,3316,17,NULL,home/fdse/data/prior_repository/chrisbanes/PhotoView
92,4657583,https://github.com/sephiroth74/ImageViewZoom,1631,120,601,519,1,NULL,home/fdse/data/prior_repository/sephiroth74/ImageViewZoom
93,944926,https://github.com/sk89q/WorldEdit,1079,2455,8937,559,103,NULL,home/fdse/data/prior_repository/sk89q/WorldEdit
94,3695744,https://github.com/commonsguy/cw-omnibus,4445,1059,74657,3575,56,NULL,home/fdse/data/prior_repository/commonsguy/cw-omnibus
95,961036,https://github.com/hibernate/hibernate-orm,3130,8659,158189,2180,156,NULL,home/fdse/data/prior_repository/hibernate/hibernate-orm
96,856703,https://github.com/mongodb/mongo-hadoop,1338,1179,87082,542,23,NULL,home/fdse/data/prior_repository/mongodb/mongo-hadoop
97,4513405,https://github.com/pingpongboss/StandOut,1211,138,786,407,0,NULL,home/fdse/data/prior_repository/pingpongboss/StandOut
98,16287,https://github.com/jeresig/processing-js,1760,3613,41895,2,23,NULL,home/fdse/data/prior_repository/jeresig/processing-js
99,3790293,https://github.com/detro/ghostdriver,1805,680,7006,350,9,NULL,home/fdse/data/prior_repository/detro/ghostdriver
100,1937202,https://github.com/gitblit/gitblit,1437,3071,18859,530,29,NULL,home/fdse/data/prior_repository/gitblit/gitblit
101,5193009,https://github.com/qii/weiciyuan,2688,3128,114562,1314,0,NULL,home/fdse/data/prior_repository/qii/weiciyuan
102,3657615,https://github.com/killme2008/Metamorphosis,1099,378,3290,656,16,NULL,home/fdse/data/prior_repository/killme2008/Metamorphosis
103,5070389,https://github.com/greenrobot/EventBus,18000,480,1509,4003,5,NULL,home/fdse/data/prior_repository/greenrobot/EventBus
104,1714530,https://github.com/pakerfeldt/android-viewflow,1842,120,1062,775,0,NULL,home/fdse/data/prior_repository/pakerfeldt/android-viewflow
105,2862290,https://github.com/nostra13/Android-Universal-Image-Loader,16064,1025,25335,6465,15,NULL,home/fdse/data/prior_repository/nostra13/Android-Universal-Image-Loader
106,1589604,https://github.com/harism/android_page_curl,1505,141,4748,604,0,NULL,home/fdse/data/prior_repository/harism/android_page_curl
107,33945,https://github.com/sparklemotion/nokogiri,4768,4227,12796,672,136,NULL,home/fdse/data/prior_repository/sparklemotion/nokogiri
108,221862,https://github.com/rzwitserloot/lombok,6008,2204,73435,1123,50,NULL,home/fdse/data/prior_repository/rzwitserloot/lombok
109,3054450,https://github.com/MiCode/Notes,1499,21,3490,849,0,NULL,home/fdse/data/prior_repository/MiCode/Notes
110,1816548,https://github.com/thest1/LazyList,1198,43,366,515,0,NULL,home/fdse/data/prior_repository/thest1/LazyList
111,379199,https://github.com/tinkerpop/gremlin,1700,1227,13304,200,22,NULL,home/fdse/data/prior_repository/tinkerpop/gremlin
112,639740,https://github.com/sirthias/pegdown,1204,280,11716,225,22,NULL,home/fdse/data/prior_repository/sirthias/pegdown
113,627504,https://github.com/eishay/jvm-serializers,2262,521,146845,443,0,NULL,home/fdse/data/prior_repository/eishay/jvm-serializers
114,3688678,https://github.com/emilsjolander/StickyListHeaders,5257,414,3866,1561,19,NULL,home/fdse/data/prior_repository/emilsjolander/StickyListHeaders
115,4038949,https://github.com/tananaev/traccar,1271,4938,11927,1032,30,NULL,home/fdse/data/prior_repository/tananaev/traccar
116,483924,https://github.com/awaitility/awaitility,1136,522,942,95,25,NULL,home/fdse/data/prior_repository/awaitility/awaitility
117,2014561,https://github.com/romainguy/ViewServer,2322,26,195,592,0,NULL,home/fdse/data/prior_repository/romainguy/ViewServer
118,4393933,https://github.com/searchbox-io/Jest,1156,1113,5313,525,28,NULL,home/fdse/data/prior_repository/searchbox-io/Jest
119,508590,https://github.com/tinkerpop/blueprints,1267,1766,8887,281,19,NULL,home/fdse/data/prior_repository/tinkerpop/blueprints
120,1466737,https://github.com/loopj/android-smart-image-view,1289,24,57,543,0,NULL,home/fdse/data/prior_repository/loopj/android-smart-image-view
121,3432266,https://github.com/JetBrains/kotlin,21927,45512,453201,2435,10074,NULL,home/fdse/data/prior_repository/JetBrains/kotlin
122,2356748,https://github.com/androidquery/androidquery,2023,692,17080,597,21,NULL,home/fdse/data/prior_repository/androidquery/androidquery
123,206387,https://github.com/apache/activemq,1084,9959,52876,831,57,NULL,home/fdse/data/prior_repository/apache/activemq
124,206370,https://github.com/apache/nutch,1628,2578,134169,1052,48,NULL,home/fdse/data/prior_repository/apache/nutch
125,3125904,https://github.com/peter-lawrey/Java-Chronicle,1115,306,1339,188,11,NULL,home/fdse/data/prior_repository/peter-lawrey/Java-Chronicle
126,1666502,https://github.com/Flowdalic/asmack,1345,281,3543,632,0,NULL,home/fdse/data/prior_repository/Flowdalic/asmack
127,3037907,https://github.com/FasterXML/jackson-core,1390,1516,13065,458,93,NULL,home/fdse/data/prior_repository/FasterXML/jackson-core
128,3038937,https://github.com/FasterXML/jackson-databind,1645,4738,64364,671,105,NULL,home/fdse/data/prior_repository/FasterXML/jackson-databind
129,1990682,https://github.com/UweTrottmann/SeriesGuide,1277,8924,106119,369,391,NULL,home/fdse/data/prior_repository/UweTrottmann/SeriesGuide
130,23418517,https://github.com/apache/hadoop,6687,18367,430851,4379,285,NULL,home/fdse/data/prior_repository/apache/hadoop
131,1625986,https://github.com/jOOQ/jOOQ,2344,6406,135894,609,59,NULL,home/fdse/data/prior_repository/jOOQ/jOOQ
132,1459486,https://github.com/JetBrains/ideavim,3207,1528,6051,363,28,NULL,home/fdse/data/prior_repository/JetBrains/ideavim
133,4138309,https://github.com/twitter/ambrose,1177,640,14115,212,16,NULL,home/fdse/data/prior_repository/twitter/ambrose
134,2626751,https://github.com/greenrobot/greenDAO,9805,844,7152,2592,18,NULL,home/fdse/data/prior_repository/greenrobot/greenDAO
135,3304447,https://github.com/richardwilly98/elasticsearch-river-mongodb,1043,771,15131,221,32,NULL,home/fdse/data/prior_repository/richardwilly98/elasticsearch-river-mongodb
136,20089859,https://github.com/apache/mahout,1392,3959,66614,867,25,NULL,home/fdse/data/prior_repository/apache/mahout
137,327391,https://github.com/sirthias/parboiled,1060,661,64437,130,39,NULL,home/fdse/data/prior_repository/sirthias/parboiled
138,2211243,https://github.com/apache/kafka,8029,4916,64240,4733,74,NULL,home/fdse/data/prior_repository/apache/kafka
139,1962219,https://github.com/cucumber/cucumber-jvm,1688,3615,18314,1438,57,NULL,home/fdse/data/prior_repository/cucumber/cucumber-jvm
140,1187853,https://github.com/stleary/JSON-java,2812,317,786,2100,8,NULL,home/fdse/data/prior_repository/stleary/JSON-java
141,1680733,https://github.com/java-native-access/jna,3845,3459,312769,985,46,NULL,home/fdse/data/prior_repository/java-native-access/jna
142,3106696,https://github.com/JakeWharton/DiskLruCache,4295,136,416,997,9,NULL,home/fdse/data/prior_repository/JakeWharton/DiskLruCache
143,2198510,https://github.com/apache/flume,1287,1744,43410,1027,22,NULL,home/fdse/data/prior_repository/apache/flume
